,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas,Código Material,Quantidade Material,Código Consumo,Quantidade Consumo,Descrição Consumo,Semana com mesma ref,aglomerado,c
24,385198777,260.0,18,3823001113.0,48,48,CRMEMBIN,Total,6.0,-1,0.0,BL CR FP80/000 1270X660X152 01,48,6.0,47,1,70002781,6.0,70002051,6.0,BL CR FP80/000 1270X660X152 NE,-1,-1,0
25,385197773,240.0,18,3823001113.0,48,48,CRMEMBIN,Total,6.0,-1,0.0,BL CR S700/000 1270X760X152 02,48,6.0,47,1,70002489,6.0,70000820,6.0,BL CR S700/000 1270X760X152 NE,-1,-1,0
26,385199362,220.0,18,3823001113.0,48,48,CRMEMBIN,Total,6.0,-1,0.0,BL CR S602/000 1270X660X152 01,48,6.0,47,1,70002012,6.0,70001828,6.0,BL CR S602/000 1270X660X152 NE,-1,-1,0
27,385200289,210.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR NC60 1067X635 00,48,300.0,47,1,70001476,25.0,70001013,25.0,CL CR NC60 1067X635 NE,-1,-1,0
28,385198991,200.0,18,3823001113.0,48,48,CRMEMBIN,Total,6.0,-1,0.0,BL CR HC80/000 1270X660X152 00,48,6.0,47,1,70001433,6.0,70000779,6.0,BL CR HC80/000 1270X660X152 NE,-1,-1,0
29,385200216,190.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CI 5015 1370X990 00,48,90.0,47,1,70001365,3.0,70000896,3.0,CL CI 5015 1370X990 NE,-1,-1,0
30,385200877,180.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR 1521 1092X762 00,48,288.90000000000003,47,1,70001319,13.0,70000915,13.0,CL CR 1521 1092X762 NE,-1,-1,0
31,385200215,170.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR 2549 1067X635 00,48,156.0,47,1,70001280,13.0,70000890,13.0,CL CR 2549 1067X635 NE,-1,-1,0
32,385197762,150.0,18,3823001113.0,48,48,CRMEMBIN,Total,36.0,-1,0.0,"BL CR D113/000 915X915X51,0 00",48,10.799999999999999,47,1,70001274,36.0,70000797,36.0,"BL CR D113/000 915X915X51,0 NE",-1,-1,0
33,385200288,140.0,18,3823001113.0,48,48,CRMEMBIN,Total,0.0,-1,0.0,CL CR N711 1067X635 00,48,0.12,47,1,70001230,8.0,70000910,8.0,CL CR N711 1067X635 NE,-1,-1,0
