,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas,Código Material,Quantidade Material,Código Consumo,Quantidade Consumo,Descrição Consumo,Semana com mesma ref,aglomerado,c
104,385197769,170.0,3,3820016475.0,47,47,CNMLAMLX,Total,4.554,2304,0.0,"PL CC 8405/S21 940X640X20,0 NE",47,17.04,47,1,70002083,54.0,70005847,4.554,BL CC 8405/ORT 940X640X250 NE,-1,-1,0
105,385197443,170.0,3,3820016475.0,47,47,CCSSECME,Total,0.0,2304,0.0,"PL CC 8405/S21 630X94X20,0 01",47,81.12,47,1,70000386,480.0,70002083,54.0,"PL CC 8405/S21 940X640X20,0 NE",-1,-1,0
106,385197457,160.0,3,3820016475.0,47,47,CCSSECME,Total,0.0,2304,0.0,"PL CC 8303/000 610X130X10,0 01",47,62.52,47,1,70001656,348.0,70000031,50.0,"PL CC 8303/000 940X640X10,0 NE",-1,-1,0
107,385197736,160.0,3,3820016475.0,47,47,CNMLAMPL,Total,2.022,2304,0.0,"PL CC 8303/000 940X640X10,0 NE",47,11.1,47,1,70000031,50.0,70001625,2.022,BL CC 8303/000 940X640X250 NE,-1,-1,0
108,385197450,150.0,3,3820016475.0,47,47,CCSSECME,Total,0.0,2304,0.0,"PL CC 8003/000 640X115X5,0 01",47,61.62,47,1,70000996,1440.0,70000022,206.0,"PL CC 8003/000 940X640X5,0 NE",-1,-1,0
109,385198008,150.0,3,3820016475.0,47,47,CNMLAMPL,Total,4.256,2304,0.0,"PL CC 8003/000 940X640X5,0 NE",47,28.139999999999997,47,1,70000022,206.0,70001618,4.256,BL CC 8003/000 940X640X250 NE,-1,-1,0
110,385198221,10.0,2,3820016455.0,59,50,CRMLAMRL,Total,0.0,-1,0.0,"RL CR S112/2T9 1067X5,0 NE",59,217.74,47,1,70024034,125.19,70000911,3.269,CL CR S112 1067X635 NE,-1,-1,0
111,385197515,10.0,2,3820016455.0,59,50,CRMEMBPL,Total,0.0,-1,0.0,"RL CR S112/2T9 50X5,0-13M SC",50,15.540000000000001,59,1,70014274,140.0,70006242,140.0,"RL CR S112/2T9 50X5,0-13M NE",-1,-1,0
112,385197855,10.0,2,3820016455.0,59,50,CRMRLMEI,Total,0.0,-1,0.0,"RL CR S112/2T9 1067X5,0-13M NE",59,90.0,59,1,70006840,9.0,70024034,125.19,"RL CR S112/2T9 1067X5,0 NE",-1,-1,0
113,385197593,10.0,2,3820016455.0,59,50,CRMSER19,Total,0.0,-1,0.0,"RL CR S112/2T9 50X5,0-13M NE",50,280.02,59,1,70006242,140.0,70006840,9.0,"RL CR S112/2T9 1067X5,0-13M NE",-1,-1,0
114,385197944,10.0,1,3820016454.0,48,45,CCSCMEAC,Total,0.0,2304,0.0,"PL ML C242/000 940X640X5,0 NE",47,374.40000000000003,48,1,70024563,624.0,70004729,624.0,"PL CC 8004/000 940X640X5,0 NE",-1,-1,0
115,385197661,10.0,1,3820016454.0,48,45,CCSBALJT,Total,0.0,2304,0.0,"PL ML C242/000 915X610X5,0 NE",47,90.0,48,1,70024313,600.0,70024563,624.0,"PL ML C242/000 940X640X5,0 NE",-1,-1,0
116,385197520,10.0,1,3820016454.0,48,45,CCSEMBME,Total,0.0,2304,0.0,"PL ML C242/000 915X610X5,0 01",48,30.0,48,1,70023573,600.0,70024313,600.0,"PL ML C242/000 915X610X5,0 NE",-1,-1,0
117,385198106,10.0,1,3820016454.0,48,45,CNMLAMPL,Total,12.855,2304,0.0,"PL CC 8004/000 940X640X5,0 NE",47,85.26,47,1,70004729,624.0,70001620,12.855,BL CC 8004/000 940X640X250 NE,-1,-1,0
118,385200193,20.0,0,3820016242.0,52,45,CRMLAMPL,Total,0.022,-1,0.0,"PL CR GT33/000 1000X1000X1,0 NE",48,1.5,47,1,70009638,3.0,70000838,0.022,BL CR GT33/000 1000X1000X152 NE,-1,-1,0
119,385200122,20.0,0,3820016242.0,52,45,CRMEMBPL,Total,0.0,-1,0.0,"PL CR GT33/000 1000X1000X1,0 00",52,0.06,52,1,70001044,3.0,70009638,3.0,"PL CR GT33/000 1000X1000X1,0 NE",-1,-1,0
120,385200333,10.0,0,3820016242.0,52,45,CRMLAMPL,Total,0.071,-1,0.0,"PL CR GT33/000 1000X1000X2,0 NE",48,1.92,47,1,70004211,5.0,70000838,0.071,BL CR GT33/000 1000X1000X152 NE,-1,-1,0
121,385200121,10.0,0,3820016242.0,52,45,CRMEMBPL,Total,0.0,-1,0.0,"PL CR GT33/000 1000X1000X2,0 00",52,0.24,52,1,70001041,5.0,70004211,5.0,"PL CR GT33/000 1000X1000X2,0 NE",-1,-1,0
