,Material,Componente,FI0,Quantidade componente,col_bmeng
8697,72000057,90100063,2.0,2400.0,1200.0
8698,72000057,70001900,1.0,1200.0,1200.0
8699,72000057,90100064,2.0,2400.0,1200.0
8700,72000057,90100308,4.0,4800.0,1200.0
8701,72000553,70001636,1.0,1080.0,1080.0
8702,72000553,90100308,4.0,4320.0,1080.0
8703,72000553,90100128,2.0,2160.0,1080.0
8704,72000553,90100127,2.0,2160.0,1080.0
8705,72000058,90100058,2.0,1200.0,600.0
8706,72000058,70011427,1.0,600.0,600.0
8707,72000058,90100308,4.0,2400.0,600.0
8708,72000058,90100057,2.0,1200.0,600.0
8709,72000300,90100058,2.0,1200.0,600.0
8710,72000300,70011427,1.0,600.0,600.0
8711,72000300,90100308,4.0,2400.0,600.0
8712,72000300,90100057,2.0,1200.0,600.0
8713,72000303,90100059,2.0,2000.0,1000.0
8714,72000303,90100058,2.0,2000.0,1000.0
8715,72000303,70009375,1.0,1000.0,1000.0
8716,72000303,90100308,4.0,4000.0,1000.0
8717,72000304,70001900,1.0,1200.0,1200.0
