,Semana,Centro de Trabalho,Acabamento,OV,Item,OF,Material,Descrição,Quantidade,Quantidade Fornecida,aglomerado
44,5,CNMLAMPL,Total,3823001394.0,20.0,1600126059,70005774,"PL CC 8403/000 915X610X11,7 NE",1800.0,0.0,-1
45,5,CNMEMBPL,Total,3823001394.0,10.0,1600126060,70004993,"PL CC 8403/000 915X610X11,7 02",1350.0,0.0,-1
46,5,CNMLAMPL,Total,3823001394.0,10.0,1600126061,70005774,"PL CC 8403/000 915X610X11,7 NE",1350.0,0.0,-1
47,12,CNMEMBPL,Total,3823001393.0,40.0,1600126062,70004333,"PL CC 8403/000 915X610X11,7 00",1800.0,0.0,-1
48,12,CNMLAMPL,Total,3823001393.0,40.0,1600126063,70005774,"PL CC 8403/000 915X610X11,7 NE",1800.0,0.0,-1
49,12,CNMEMBPL,Total,3823001393.0,10.0,1600126064,70004336,"PL CC 8403/000 915X610X5,8 03",2400.0,0.0,-1
50,12,CNMLAMPL,Total,3823001393.0,10.0,1600126065,70005773,"PL CC 8403/000 915X610X5,8 NE",2400.0,0.0,-1
51,12,CNMEMBPL,Total,3823001393.0,30.0,1600126066,70004993,"PL CC 8403/000 915X610X11,7 02",1350.0,0.0,-1
52,12,CNMLAMPL,Total,3823001393.0,30.0,1600126067,70005774,"PL CC 8403/000 915X610X11,7 NE",1350.0,0.0,-1
53,12,CNMEMBPL,Total,3823001393.0,20.0,1600126068,70004994,"PL CC 8403/000 915X610X5,8 06",1800.0,0.0,-1
54,12,CNMLAMPL,Total,3823001393.0,20.0,1600126069,70005773,"PL CC 8403/000 915X610X5,8 NE",1800.0,0.0,-1
55,12,CNMEMBPL,Total,3823001393.0,60.0,1600126070,70005454,"PL CI 5608/000 915X610X5,8 04",2880.0,0.0,-1
56,12,CNMSHT02,Total,3823001393.0,60.0,1600126071,70006865,"PL CI 5608/000 915X610X5,8 NE",2880.0,0.0,-1
57,12,CNMLAMRL,Total,3823001393.0,60.0,1600126072,70023275,"RL CI 5608/000 610X5,8 NE",2649.6,0.0,-1
58,12,CNMLAMPL,Total,3823001393.0,50.0,1600126197,70003736,"PL CC 8403/000 915X610X6,0 NE",1280.0,0.0,-1
59,12,CCSEMBME,Total,3823001393.0,50.0,1600126238,70002196,"PL CC 8403/000 915X610X6,0 01",1280.0,0.0,-1
60,9,CNMEMBPL,Total,3823001392.0,40.0,1600126073,70004333,"PL CC 8403/000 915X610X11,7 00",1800.0,0.0,-1
61,9,CNMLAMPL,Total,3823001392.0,40.0,1600126074,70005774,"PL CC 8403/000 915X610X11,7 NE",1800.0,0.0,-1
62,9,CNMEMBPL,Total,3823001392.0,10.0,1600126075,70004336,"PL CC 8403/000 915X610X5,8 03",1600.0,0.0,-1
63,9,CNMLAMPL,Total,3823001392.0,10.0,1600126076,70005773,"PL CC 8403/000 915X610X5,8 NE",1600.0,0.0,-1
64,9,CNMEMBPL,Total,3823001392.0,30.0,1600126077,70004993,"PL CC 8403/000 915X610X11,7 02",1350.0,0.0,-1
65,9,CNMLAMPL,Total,3823001392.0,30.0,1600126078,70005774,"PL CC 8403/000 915X610X11,7 NE",1350.0,0.0,-1
66,9,CNMEMBPL,Total,3823001392.0,20.0,1600126079,70004994,"PL CC 8403/000 915X610X5,8 06",1200.0,0.0,-1
67,9,CNMLAMPL,Total,3823001392.0,20.0,1600126080,70005773,"PL CC 8403/000 915X610X5,8 NE",1200.0,0.0,-1
68,9,CNMEMBPL,Total,3823001392.0,60.0,1600126081,70005454,"PL CI 5608/000 915X610X5,8 04",2880.0,0.0,-1
69,9,CNMSHT02,Total,3823001392.0,60.0,1600126082,70006865,"PL CI 5608/000 915X610X5,8 NE",2880.0,0.0,-1
70,9,CNMLAMRL,Total,3823001392.0,60.0,1600126083,70023275,"RL CI 5608/000 610X5,8 NE",2649.6,0.0,-1
71,9,CNMLAMPL,Total,3823001392.0,50.0,1600126196,70003736,"PL CC 8403/000 915X610X6,0 NE",1920.0,0.0,-1
72,9,CCSEMBME,Total,3823001392.0,50.0,1600126239,70002196,"PL CC 8403/000 915X610X6,0 01",1920.0,0.0,-1
73,10,CNMVSMEB,Total,3823001391.0,50.0,1600126084,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",70.0,0.0,-1
74,10,CNMVSMRL,Total,3823001391.0,50.0,1600126085,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",70.0,0.0,-1
75,10,CNMEMBPL,Total,3823001391.0,40.0,1600126086,70004333,"PL CC 8403/000 915X610X11,7 00",1800.0,0.0,-1
76,10,CNMLAMPL,Total,3823001391.0,40.0,1600126087,70005774,"PL CC 8403/000 915X610X11,7 NE",1800.0,0.0,-1
77,10,CNMEMBPL,Total,3823001391.0,10.0,1600126088,70004336,"PL CC 8403/000 915X610X5,8 03",3600.0,0.0,-1
78,10,CNMLAMPL,Total,3823001391.0,10.0,1600126089,70005773,"PL CC 8403/000 915X610X5,8 NE",3600.0,0.0,-1
79,10,CNMEMBPL,Total,3823001391.0,30.0,1600126090,70004993,"PL CC 8403/000 915X610X11,7 02",1350.0,0.0,-1
80,10,CNMLAMPL,Total,3823001391.0,30.0,1600126091,70005774,"PL CC 8403/000 915X610X11,7 NE",1350.0,0.0,-1
81,10,CNMEMBPL,Total,3823001391.0,20.0,1600126092,70004994,"PL CC 8403/000 915X610X5,8 06",2700.0,0.0,-1
82,10,CNMLAMPL,Total,3823001391.0,20.0,1600126093,70005773,"PL CC 8403/000 915X610X5,8 NE",2700.0,0.0,-1
83,6,CCSEBMTR,Total,3823001390.0,20.0,1600126224,72000837,ES CC 8405 BL YOGA 225X150X100 462 01,600.0,0.0,-1
84,6,CCSEBMTR,Total,3823001390.0,10.0,1600126225,72000829,ES CC 8405 BL YOGA 230X120X75 462 01,630.0,0.0,-1
85,8,CRMEMBIN,Total,3823001389.0,10.0,1600126010,70001048,BL CR NC60/000 1270X660X152 00,6.0,0.0,-1
86,9,CRMEMBIN,Total,3823001389.0,20.0,1600126011,70001049,BL CR SP74/000 915X915X152 00,36.0,0.0,-1
87,11,CRMEMBIN,Total,3823001389.0,30.0,1600126012,70001051,CL CR D205 1067X635 00,2.0,0.0,-1
88,11,CRMEMBIN,Total,3823001389.0,40.0,1600126013,70001052,CL CR H160 1067X635 00,2.0,0.0,-1
89,3,CRMEMBIN,Total,3823001389.0,50.0,1600126014,70001122,BL CR GT46/000 1270X660X152 00,6.0,0.0,-1
90,9,CRMEMBIN,Total,3823001389.0,60.0,1600126015,70001123,BL CR N733/000 915X915X152 00,12.0,0.0,-1
91,9,CRMEMBIN,Total,3823001389.0,70.0,1600126016,70001125,BL CR NC60/000 915X915X152 00,6.0,0.0,-1
92,3,CRMEMBIN,Total,3823001389.0,80.0,1600126017,70001166,BL CR 1521/000 1270X760X152 01,36.0,0.0,-1
93,3,CRMEMBIN,Total,3823001389.0,90.0,1600126018,70001170,BL CR D205/000 915X915X152 00,6.0,0.0,-1
94,8,CRMEMBIN,Total,3823001389.0,90.0,1600126019,70001170,BL CR D205/000 915X915X152 00,6.0,0.0,-1
95,11,CRMEMBIN,Total,3823001389.0,100.0,1600126020,70001171,BL CR N709/000 915X915X152 00,6.0,0.0,-1
96,5,CNMEMBIN,Total,3823001389.0,230.0,1600126094,70004020,BL CC 8057/000 950x650X200 01,10.0,0.0,-1
97,5,CNMEMBIN,Total,3823001389.0,190.0,1600126095,70002131,BL CC 8108/000 950x650X200 01,6.0,0.0,-1
98,13,CRMEMBIN,Total,3823001389.0,110.0,1600126206,70001173,CL CR N710 1067X635 00,6.0,0.0,-1
99,6,CRMEMBIN,Total,3823001389.0,120.0,1600126367,70001224,BL CR 1521/000 1270X660X152 00,18.0,0.0,-1
100,10,CRMEMBIN,Total,3823001389.0,130.0,1600126368,70001228,BL CR HC80/000 915X915X152 00,12.0,0.0,-1
101,13,CRMEMBIN,Total,3823001389.0,140.0,1600126369,70001275,CL CR H150 1067X635 00,3.0,0.0,-1
102,14,CRMEMBIN,Total,3823001389.0,150.0,1600126370,70001280,CL CR 2549 1067X635 00,8.0,0.0,-1
103,10,CRMEMBIN,Total,3823001389.0,160.0,1600126371,70001476,CL CR NC60 1067X635 00,4.0,0.0,-1
104,4,CRMEMBIN,Total,3823001389.0,170.0,1600126372,70001872,BL CR S112/000 1270X1040X152 01,6.0,0.0,-1
105,3,CRMEMBIN,Total,3823001389.0,180.0,1600126373,70001978,BL CR CR76/000 1270X660X152 01,12.0,0.0,-1
106,6,CRMEMBIN,Total,3823001389.0,200.0,1600126374,70002781,BL CR FP80/000 1270X660X152 01,6.0,0.0,-1
107,11,CRMEMBIN,Total,3823001389.0,210.0,1600126375,70002937,BL CR H90L/000 915X915X152 01,6.0,0.0,-1
108,12,CRMEMBIN,Total,3823001389.0,220.0,1600126376,70002938,BL CR SP52/000 915X915X152 01,12.0,0.0,-1
109,11,CRMLAMPL,Total,3823001388.0,30.0,1600126006,70006301,"PL CR 2549/T01 1270X760X1,2 NE",3200.0,0.0,-1
110,11,CRMEMBPL,Total,3823001388.0,30.0,1600126007,70002935,"PL CR 2549/T01 1270X760X1,2 01",3200.0,0.0,-1
111,11,CRMRLMEI,Total,3823001388.0,80.0,1600126008,70004347,"RL CI 5351/000 1220X1,9-15,25M 01",75.0,0.0,-1
112,11,CRMLAMRL,Total,3823001388.0,80.0,1600126009,70008376,"RL CI 5351/000 1220X1,9 NE",1143.75,0.0,-1
113,4,CNMEMBRL,Total,3823001388.0,10.0,1600126096,70000461,"RL CC 8245/000 940X1,6-122M 02",2.0,0.0,-1
114,4,CNMLAMRL,Total,3823001388.0,10.0,1600126097,70006732,"RL CC 8245/000 940X1,6-122M NE",2.0,0.0,-1
115,4,CNMLAMRL,Total,3823001388.0,20.0,1600126098,70000621,"RL CC 8245/000 1230X3,0-244M 00",2.0,0.0,-1
116,4,CNMLAMRL,Total,3823001388.0,40.0,1600126099,70003190,"RL CC 8245/000 1232X1,6-244M 01",12.0,0.0,-1
117,4,CNMEMBRL,Total,3823001388.0,50.0,1600126100,70003543,"RL CC 8232/000 610X0,8-225M 01",16.0,0.0,-1
118,4,CNMLAMRL,Total,3823001388.0,50.0,1600126101,70009085,"RL CC 8232/000 610X0,8-225M NE",16.0,0.0,-1
119,4,CNMVSMEB,Total,3823001388.0,60.0,1600126102,70004309,"RL CC 8244/PAK 1220X5,8-15,25M 00",144.0,0.0,-1
120,4,CNMVSMRL,Total,3823001388.0,60.0,1600126103,70006895,"RL CC 8244/PAK 1220X5,8-15,25M NE",144.0,0.0,-1
121,4,CNMEMBPL,Total,3823001388.0,70.0,1600126104,70004332,"PL CC 8403/000 915X610X3,8 01",304.0,0.0,-1
122,4,CNMLAMPL,Total,3823001388.0,70.0,1600126105,70005771,"PL CC 8403/000 915X610X3,8 NE",304.0,0.0,-1
123,12,CCSEMBJT,Total,3823001388.0,90.0,1600126199,71001758,"JT CR 1521/PFM 231-FM 1,91 00",2000.0,0.0,-1
124,12,CCSBALJT,Total,3823001388.0,90.0,1600126220,71001759,"JT CR 1521/PFM 231-FM 1,91 NE",2000.0,0.0,-1
125,11,CRMLAMPL,Total,3823001388.0,90.0,1600126221,71001760,"FQ CR 1521/PFM 231-FM 1,91 NE",1000.0,0.0,-1
126,11,CRMLAMPL,Printing + Manual,3823001388.0,90.0,1600126221,71001760,"FQ CR 1521/PFM 231-FM 1,91 NE",1000.0,0.0,-1
127,11,CRMCOLQD,Total,3823001388.0,90.0,1600126222,71001761,QD CR 1521/OCL 231-FM 150 NE,15.0,0.0,-1
128,11,CRMSER05,Total,3823001388.0,90.0,1600126223,71001762,QD CR 1521/000 231-FM 150 NE,15.0,0.0,-1
129,3,CRMVSMRL,Total,3823001387.0,20.0,1600125928,70003958,"RL CI 5057/000 1000X2,0-10M 01",150.0,0.0,-1
130,3,CRMLAMRL,Total,3823001387.0,20.0,1600125929,70006847,"RL CI 5057/000 1000X2,0 NE",1500.0,0.0,-1
131,4,CRMRLMEI,Total,3823001387.0,30.0,1600125930,70003960,"RL CI 5057/000 1000X5,0-13M 01",40.0,0.0,-1
132,4,CRMLAMRL,Total,3823001387.0,30.0,1600125931,70008474,"RL CI 5057/000 1000X5,0 NE",520.0,0.0,-1
133,5,CNMEMBPL,Total,3823001387.0,10.0,1600126106,70003265,"PL CC 8403/000 915X610X3,0 02",2000.0,0.0,-1
134,5,CNMLAMPL,Total,3823001387.0,10.0,1600126107,70005770,"PL CC 8403/000 915X610X3,0 NE",2000.0,0.0,-1
135,5,CNMEMBPL,Total,3823001387.0,40.0,1600126108,70004594,"PL CC 8403/000 915X610X5,0 01",480.0,0.0,-1
136,5,CNMLAMPL,Total,3823001387.0,40.0,1600126109,70005772,"PL CC 8403/000 915X610X5,0 NE",480.0,0.0,-1
137,5,CNMVSMEB,Total,3823001387.0,50.0,1600126110,70015044,"RL CC 8244/000 1000X3,0-10M 26",144.0,0.0,-1
138,5,CNMVSMRL,Total,3823001387.0,50.0,1600126111,70000084,"RL CC 8244/000 1000X3,0-10M NE",144.0,0.0,-1
139,9,CNMVSMEB,Total,3823001379.0,10.0,1600125540,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
140,9,CNMVSMRL,Total,3823001379.0,10.0,1600125541,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
141,8,CNMVSMEB,Total,3823001378.0,10.0,1600125542,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
142,8,CNMVSMRL,Total,3823001378.0,10.0,1600125543,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
143,8,CNMVSMEB,Total,3823001377.0,10.0,1600125544,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
144,8,CNMVSMRL,Total,3823001377.0,10.0,1600125545,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
145,6,CNMVSMEB,Total,3823001376.0,10.0,1600125546,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
146,6,CNMVSMRL,Total,3823001376.0,10.0,1600125547,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
147,4,CNMVSMEB,Total,3823001375.0,10.0,1600125548,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
148,4,CNMVSMRL,Total,3823001375.0,10.0,1600125549,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
149,5,CNMVSMEB,Total,3823001374.0,10.0,1600125550,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
150,5,CNMVSMRL,Total,3823001374.0,10.0,1600125551,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
151,4,CNMVSMEB,Total,3823001373.0,10.0,1600125552,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
152,4,CNMVSMRL,Total,3823001373.0,10.0,1600125553,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
153,3,CNMVSMEB,Total,3823001372.0,10.0,1600125554,70000740,"RL CC 8244/000 1220X5,8-15,25M 00",468.0,0.0,-1
154,3,CNMVSMRL,Total,3823001372.0,10.0,1600125555,70006685,"RL CC 8244/000 1220X5,8-15,25M NE",468.0,0.0,-1
155,5,CNMEMBPL,Total,3823001371.0,10.0,1600125556,70001797,"PL CC 8403/000 915X610X12,5 01",4200.0,0.0,-1
156,5,CNMLAMPL,Total,3823001371.0,10.0,1600125557,70005776,"PL CC 8403/000 915X610X12,5 NE",4200.0,0.0,-1
157,5,CNMEMBPL,Total,3823001371.0,20.0,1600125558,70004334,"PL CC 8403/000 915X610X5,8 00",5600.0,0.0,-1
158,5,CNMLAMPL,Total,3823001371.0,20.0,1600125559,70005773,"PL CC 8403/000 915X610X5,8 NE",5600.0,0.0,-1
159,8,CNMLAMPL,Total,3823001369.0,10.0,1600125560,70005565,"PL CC 8002/000 915X610X6,0 NE",14700.0,0.0,-1
160,8,CNMEMBPL,Total,3823001369.0,10.0,1600125561,70026665,"PL CC 8002/000 915X610X6,0 08",14700.0,0.0,-1
161,5,CNMEMBPL,Total,3823001367.0,10.0,1600125443,70000582,"PL CC 8003/000 915X610X2,4 09",720.0,0.0,-1
162,5,CNMLAMPL,Total,3823001367.0,10.0,1600125444,70011794,"PL CC 8003/000 915X610X2,4 NE",720.0,0.0,-1
163,5,CNMEMBPL,Total,3823001367.0,20.0,1600125445,70000710,"PL CC 8003/000 915X610X4,8 11",252.0,0.0,-1
164,5,CNMLAMPL,Total,3823001367.0,20.0,1600125446,70007454,"PL CC 8003/000 915X610X4,8 NE",252.0,0.0,-1
165,4,CNMVSMEB,Total,3823001367.0,30.0,1600125447,70000711,"RL CC 8245/000 1000X3,0-53M 02",10.0,0.0,-1
166,4,CNMVSMRL,Total,3823001367.0,30.0,1600125448,70006764,"RL CC 8245/000 1000X3,0-53M NE",10.0,0.0,-1
167,4,CNMVSMEB,Total,3823001367.0,40.0,1600125449,70001668,"RL CC 8245/000 1000X2,0-80M 02",5.0,0.0,-1
168,4,CNMVSMRL,Total,3823001367.0,40.0,1600125450,70006773,"RL CC 8245/000 1000X2,0-80M NE",5.0,0.0,-1
169,4,CNMEMBRL,Total,3823001367.0,50.0,1600125451,70002262,"RL CC 8245/000 1000X1,0-160M 02",5.0,0.0,-1
170,4,CNMLAMRL,Total,3823001367.0,50.0,1600125452,70008877,"RL CC 8245/000 1000X1,0-160M NE",5.0,0.0,-1
171,5,CNMEMBPL,Total,3823001367.0,60.0,1600125453,70004552,"PL CC 8003/000 915X610X5,0 33",240.0,0.0,-1
172,5,CNMLAMPL,Total,3823001367.0,60.0,1600125454,70005608,"PL CC 8003/000 915X610X5,0 NE",240.0,0.0,-1
173,3,CNMVSMEB,Total,3823001366.0,10.0,1600125455,70007759,"RL CC 8210/000 1000X1,8-30M 20",10.0,0.0,-1
174,3,CNMVSMRL,Total,3823001366.0,10.0,1600125456,70000112,"RL CC 8210/000 1000X1,8-30M NE",10.0,0.0,-1
175,3,CNMEMBMA,Total,3823001364.0,40.0,1600125457,70002247,"RL CI 5085/000 1000X1,8-10M AR",245.0,0.0,-1
176,3,CNMREBMA,Total,3823001364.0,40.0,1600125458,70007191,"RL CI 5085/000 1000X1,8-10M NE",245.0,0.0,-1
177,3,CNMLAMMA,Total,3823001364.0,40.0,1600125459,70007163,"RL CI 5085/000 1000X1,8 NE",2474.75,0.0,-1
178,3,CNMEMBMA,Total,3823001364.0,50.0,1600125460,70003145,"RL CC 8210/000 1000X1,8-10M WM",1155.0,0.0,-1
179,3,CNMREBMA,Total,3823001364.0,50.0,1600125461,70006592,"RL CC 8210/000 1000X1,8-10M NE",1155.0,0.0,-1
180,3,CNMLAMMA,Total,3823001364.0,50.0,1600125462,70006573,"RL CC 8210/000 1000X1,8 NE",11550.0,0.0,-1
181,3,CNMEMBMA,Total,3823001364.0,30.0,1600125463,70007760,"RL CC 8210/000 1000X1,8-10M 64",298.0,0.0,-1
182,3,CNMREBMA,Total,3823001364.0,30.0,1600125464,70006592,"RL CC 8210/000 1000X1,8-10M NE",298.0,0.0,-1
183,3,CNMLAMMA,Total,3823001364.0,30.0,1600125465,70006573,"RL CC 8210/000 1000X1,8 NE",2980.0,0.0,-1
184,3,CNMVSMEB,Total,3823001364.0,10.0,1600125466,70008978,"RL CC 8244/000 1000X3,0-25M DK",20.0,0.0,-1
185,3,CNMVSMRL,Total,3823001364.0,10.0,1600125467,70008977,"RL CC 8244/000 1000X3,0-25M NE",20.0,0.0,-1
186,4,CRMVSMRL,Total,3823001364.0,20.0,1600125926,70004045,"RL CI 5923/000 1000X1,6-15M 02",381.0,0.0,-1
187,4,CRMLAMRL,Total,3823001364.0,20.0,1600125927,70006815,"RL CI 5923/000 1000X1,6 NE",5715.0,0.0,-1
188,5,CNMEMBPL,Total,3823001363.0,10.0,1600124798,70005110,"PL CC 8512/000 950X650X4,0 01",900.0,0.0,-1
189,5,CNMLAMPL,Total,3823001363.0,10.0,1600124799,70010746,"PL CC 8512/000 950X650X4,0 NE",900.0,0.0,-1
190,7,GMTEMBAL,Total,3823001361.0,10.0,1600124788,41000419,"GRAN MD 0,5/1 75-85 HU SA038 CR",6200.0,0.0,-1
191,5,CNMLAMMM,Total,3823001360.0,10.0,1600124702,70006617,"RL CC 8244/000 500X4,0 NE",21820.32,0.0,-1
192,6,CNMREBMM,Total,3823001360.0,10.0,1600124703,70006618,"RL CC 8244/000 500X4,0-5M NE",4320.0,0.0,-1
193,6,CNMEMBMM,Total,3823001360.0,10.0,1600124704,70003869,"RL CC 8244/000 500X4,0-5M 07",4320.0,0.0,-1
194,5,CNMEMBPL,Total,3823001359.0,10.0,1600124705,70002169,"PL CC 8004/S11 915X610X5,0 01",360.0,0.0,-1
195,5,CNMLAMLX,Total,3823001359.0,10.0,1600124706,70005884,"PL CC 8004/S11 915X610X5,0 NE",360.0,0.0,-1
196,5,CNMEMBPL,Total,3823001359.0,20.0,1600124707,70003581,"PL CC 8004/S11 940X640X30,0 01",60.0,0.0,-1
197,5,CNMLAMLX,Total,3823001359.0,20.0,1600124708,70011469,"PL CC 8004/S11 940X640X30,0 NE",60.0,0.0,-1
198,5,CNMSERPL,Total,3823001359.0,20.0,1600124709,70025702,"PL CC 8004/000 940X640X31,0 NE",60.0,0.0,-1
199,11,CRMEMBPL,Total,3823001358.0,60.0,1600124575,70004395,"PL CI 5404/000 200X145X10,0 01",100.0,0.0,-1
