,c,semana,quantidade
232,70003387,23,0.0
233,70003387,24,0.0
234,70003387,25,0.0
235,70003387,26,0.0
236,70003387,27,0.0
237,70003387,28,0.0
238,70003387,29,0.0
239,70003387,30,0.0
240,70003387,31,0.0
241,70003387,32,0.0
242,70003387,33,0.0
243,70003387,34,0.0
244,70003387,35,0.0
245,70003387,36,0.0
246,70003387,37,0.0
247,70003387,38,0.0
248,70003387,39,0.0
249,70003387,40,0.0
250,70003387,41,0.0
251,70003387,42,0.0
252,70003387,43,0.0
253,70003387,44,0.0
254,70003387,45,0.0
255,70003387,46,0.0
256,70003387,47,0.0
257,70003387,48,0.0
258,70003387,49,0.0
259,70003387,50,0.0
260,70003387,51,0.0
261,70003387,52,0.0
262,70003387,53,0.0
263,70003387,54,0.0
264,70003387,55,0.0
265,70001703,3,0.0
266,70001703,4,0.0
267,70001703,5,0.0
268,70001703,6,0.0
269,70001703,7,0.0
270,70001703,8,0.0
271,70001703,9,0.0
272,70001703,10,0.0
273,70001703,11,0.0
274,70001703,12,0.0
275,70001703,13,0.0
276,70001703,14,0.0
277,70001703,15,0.0
278,70001703,16,0.0
279,70001703,17,0.0
280,70001703,18,0.0
281,70001703,19,0.0
282,70001703,20,0.0
283,70001703,21,0.0
284,70001703,22,0.0
285,70001703,23,0.0
286,70001703,24,0.0
287,70001703,25,0.0
288,70001703,26,0.0
289,70001703,27,0.0
290,70001703,28,0.0
291,70001703,29,0.0
292,70001703,30,0.0
293,70001703,31,0.0
294,70001703,32,0.0
295,70001703,33,0.0
296,70001703,34,0.0
297,70001703,35,0.0
298,70001703,36,0.0
299,70001703,37,0.0
300,70001703,38,0.0
301,70001703,39,0.0
302,70001703,40,0.0
303,70001703,41,0.0
304,70001703,42,0.0
305,70001703,43,0.0
306,70001703,44,0.0
307,70001703,45,0.0
308,70001703,46,0.0
309,70001703,47,0.0
310,70001703,48,0.0
311,70001703,49,0.0
312,70001703,50,0.0
313,70001703,51,0.0
314,70001703,52,0.0
315,70001703,53,0.0
316,70001703,54,0.0
317,70001703,55,0.0
318,70003793,3,0.0
319,70003793,4,0.0
320,70003793,5,0.0
321,70003793,6,0.0
322,70003793,7,0.0
323,70003793,8,0.0
324,70003793,9,0.0
325,70003793,10,0.0
326,70003793,11,0.0
327,70003793,12,0.0
328,70003793,13,0.0
329,70003793,14,0.0
330,70003793,15,0.0
331,70003793,16,0.0
332,70003793,17,0.0
333,70003793,18,0.0
334,70003793,19,0.0
335,70003793,20,0.0
336,70003793,21,0.0
337,70003793,22,0.0
338,70003793,23,0.0
339,70003793,24,0.0
340,70003793,25,0.0
341,70003793,26,0.0
342,70003793,27,0.0
343,70003793,28,0.0
344,70003793,29,0.0
345,70003793,30,0.0
346,70003793,31,0.0
347,70003793,32,0.0
348,70003793,33,0.0
