Nome planejador,Status ordem de produção,Tipo de Ordem de produção/planeada,Ordem Venda / Transferência,Item OV/Transferência,Data de criação da ov,Sold to,Responsável SAC,Ordem de produção / planeada,Data-base do início,Data-base do fim,Data desejada de saída de mercadoria,Semana saída de mercadoria,Material de produção,Texto breve de material,Quantidade total da ordem,Componente,Descritivo componente,Qtd.necessária,Descritivo de Centro de Trabalho,Centro de trabalho,Duração da operação,País Destino,Quantidade fornecida ordem de produção
CRM - Transformaçã,ABER,ZRPL,3823000504.0,60.0,,,,1600072813.0,29/07/2021,30/07/2021,,0.0,71000461,"FQ CR GT46/PUK 227-Z 1,6 NE",7200.0,71000076,QD CR GT46/OCL 227-Z 150 NE,77.0,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,12.5,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,60.0,,,,1600072814.0,29/07/2021,30/07/2021,,0.0,71000076,QD CR GT46/OCL 227-Z 150 NE,77.0,71000805,QD CR GT46/000 227-Z 150 NE,77.0,CRM-COLAR QUADROS,CRMCOLQD,1.925,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,60.0,,,,1600072815.0,29/07/2021,30/07/2021,,0.0,71000805,QD CR GT46/000 227-Z 150 NE,77.0,70000766,BL CR GT46/000 1270X660X152 NE,13.013,CRM-SERRA,CRMSERRA,6.598,,0.0
CCS,ABER,ZCEJ,3823000504.0,70.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072816.0,29/07/2021,29/07/2021,22/06/2021,202131.0,71000138,"JT CI 5351/000 162-Z 2,4 00",1000.0,71001237,"JT CI 5351/000 162-Z 2,4 NE",1000.0,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.0,US,0.0
CCS,ABER,ZCJT,3823000504.0,70.0,,,,1600072817.0,29/07/2021,29/07/2021,,0.0,71001237,"JT CI 5351/000 162-Z 2,4 NE",1000.0,71000420,"FQ CI 5351/000 162-Z 2,4 NE",500.0,CCS-CUNHAGEM JUNTAS,CCSBALJT,0.775,,0.0
CRM - Transformaçã,ABER,ZRPL,3823000504.0,70.0,,,,1600072818.0,29/07/2021,30/07/2021,,0.0,71000420,"FQ CI 5351/000 162-Z 2,4 NE",500.0,71000069,QD CI 5351/OCL 162-Z 164 NE,7.0,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,2.273,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,70.0,,,,1600072819.0,29/07/2021,30/07/2021,,0.0,71000069,QD CI 5351/OCL 162-Z 164 NE,7.0,71000910,QD CI 5351/000 162-Z 164 NE,7.0,CRM-COLAR QUADROS,CRMCOLQD,0.2,,0.0
CRM - Transformaçã,ABER,ZRSE,3823000504.0,70.0,,,,1600072820.0,29/07/2021,30/07/2021,,0.0,71000910,QD CI 5351/000 162-Z 164 NE,7.0,70000956,BL CI 5351/000 950X650X200 NE,2.37,CRM-SERRA,CRMSERRA,0.521,,0.0
CCS,ABER,ZCEJ,3823000504.0,80.0,04/05/2021,"AMORIM CORK COMPOSITES, INC",RFERNANDES,1600072821.0,29/07/2021,29/07/2021,22/06/2021,202131.0,71000156,"JT CI 5351/000 27-Z 2,4 00",4000.0,71001245,"JT CI 5351/000 27-Z 2,4 NE",4000.0,CCS-EMBALAGEM JUNTAS,CCSEMBJT,0.001,US,0.0
CCS,ABER,ZCJT,3823000504.0,80.0,,,,1600072822.0,29/07/2021,29/07/2021,,0.0,71001245,"JT CI 5351/000 27-Z 2,4 NE",4000.0,71000436,"FQ CI 5351/000 27-Z 2,4 NE",2000.0,CCS-CUNHAGEM JUNTAS,CCSBALJT,2.02,,0.0
CRM - Transformaçã,ABER,ZRPL,3823000504.0,80.0,,,,1600072823.0,29/07/2021,30/07/2021,,0.0,71000436,"FQ CI 5351/000 27-Z 2,4 NE",2000.0,71000081,QD CI 5351/OCL 27-Z 164 NE,29.0,CRM-LAMINADORA PLACAS BORRACHA,CRMLAMPL,5.97,,0.0
