Centro trabalho,Semana,Capacidade
CNMLAMMA,17,0.06
CNMLAMMA,18,0.06
CNMLAMMA,19,0
CNMLAMMA,20,0
CNMLAMMA,21,0
CNMLAMMA,22,0
CNMLAMMA,23,0.22
CNMLAMMA,24,0.25
CNMLAMMA,25,0.06
CNMLAMMA,26,0.06
CNMLAMMA,27,0.06
CNMLAMMA,28,0
CNMLAMMA,29,0
CNMLAMMA,30,0
CNMLAMMA,31,0
CNMLAMMA,32,0.22
CNMLAMMA,33,0.25
CNMLAMMA,34,0.06
CNMLAMMA,35,0.06
CNMLAMMA,36,0.06
CNMLAMMA,37,0
CNMLAMMA,38,0
CNMLAMMA,39,0
CNMLAMMA,40,0
CNMLAMMA,41,0.22
CNMLAMMA,42,0.25
CNMLAMMA,43,0.06
CNMLAMMA,44,0.06
CNMLAMMA,45,0.06
CNMLAMMA,46,0
CNMLAMMA,47,0
CNMLAMMA,48,0
CNMLAMMA,49,0
CNMLAMMA,50,0
CNMLAMMA,51,0
CNMLAMMA,52,0
CNMEMBIN,1,0
CNMEMBIN,2,0
CNMEMBIN,3,0
CNMEMBIN,4,0
CNMEMBIN,5,0.22
CNMEMBIN,6,0.25
CNMEMBIN,7,0.06
CNMEMBIN,8,0.06
CNMEMBIN,9,0.06
CNMEMBIN,10,0
CNMEMBIN,11,0
CNMEMBIN,12,0
CNMEMBIN,13,0
CNMEMBIN,14,0.22
CNMEMBIN,15,0.25
CNMEMBIN,16,0.06
CNMEMBIN,17,0.06
CNMEMBIN,18,0.06
CNMEMBIN,19,0
CNMEMBIN,20,0
CNMEMBIN,21,0
CNMEMBIN,22,0
CNMEMBIN,23,0.22
CNMEMBIN,24,0.25
CNMEMBIN,25,0.06
CNMEMBIN,26,0.06
CNMEMBIN,27,0.06
CNMEMBIN,28,0
CNMEMBIN,29,0
CNMEMBIN,30,0
CNMEMBIN,31,0
CNMEMBIN,32,0.22
CNMEMBIN,33,0.25
CNMEMBIN,34,0.06
CNMEMBIN,35,0.06
CNMEMBIN,36,0.06
CNMEMBIN,37,0
CNMEMBIN,38,0
CNMEMBIN,39,0
CNMEMBIN,40,0
CNMEMBIN,41,0.22
CNMEMBIN,42,0.25
CNMEMBIN,43,0.06
CNMEMBIN,44,0.06
CNMEMBIN,45,0.06
CNMEMBIN,46,0
CNMEMBIN,47,0
CNMEMBIN,48,0
CNMEMBIN,49,0
CNMEMBIN,50,0
CNMEMBIN,51,0
CNMEMBIN,52,0
CRMEMBIN,1,0
CRMEMBIN,2,0
CRMEMBIN,3,0
CRMEMBIN,4,0
CRMEMBIN,5,0.22
CRMEMBIN,6,0.25
CRMEMBIN,7,0.06
CRMEMBIN,8,0.06
CRMEMBIN,9,0.06
CRMEMBIN,10,0
CRMEMBIN,11,0
CRMEMBIN,12,0
CRMEMBIN,13,0
CRMEMBIN,14,0.22
CRMEMBIN,15,0.25
CRMEMBIN,16,0.06
CRMEMBIN,17,0.06
CRMEMBIN,18,0.06
CRMEMBIN,19,0
CRMEMBIN,20,0
CRMEMBIN,21,0
CRMEMBIN,22,0
CRMEMBIN,23,0.22
CRMEMBIN,24,0.25
CRMEMBIN,25,0.06
CRMEMBIN,26,0.06
CRMEMBIN,27,0.06
CRMEMBIN,28,0
CRMEMBIN,29,0
CRMEMBIN,30,0
CRMEMBIN,31,0
CRMEMBIN,32,0.22
CRMEMBIN,33,0.25
CRMEMBIN,34,0.06
CRMEMBIN,35,0.06
CRMEMBIN,36,0.06
CRMEMBIN,37,0
CRMEMBIN,38,0
CRMEMBIN,39,0
CRMEMBIN,40,0
CRMEMBIN,41,0.22
CRMEMBIN,42,0.25
CRMEMBIN,43,0.06
CRMEMBIN,44,0.06
CRMEMBIN,45,0.06
CRMEMBIN,46,0
CRMEMBIN,47,0
CRMEMBIN,48,0
CRMEMBIN,49,0
CRMEMBIN,50,0
CRMEMBIN,51,0
CRMEMBIN,52,0
