,Ordem Venda / Transferência,data_substituir,semana
584,3823000707.0,2021-11-27,47
585,3823000710.0,2021-11-19,46
586,3823000718.0,2021-11-19,46
587,3823000719.0,2021-11-19,46
588,3823000720.0,2021-10-22,42
589,3823000721.0,2021-11-26,47
590,3823000723.0,2021-11-26,47
591,3823000734.0,2021-11-20,46
592,3823000738.0,2021-11-19,46
593,3823000739.0,2021-12-10,49
594,3823000740.0,2021-11-19,46
595,3823000749.0,2021-11-26,47
596,3823000750.0,2021-11-27,47
597,3823000759.0,2021-12-03,48
598,3823000760.0,2021-12-03,48
599,3823000761.0,2021-11-27,47
600,3823000763.0,2021-12-10,49
601,3823000764.0,2021-11-13,45
602,3823000767.0,2021-12-04,48
603,3823000768.0,2021-11-27,47
604,3823000769.0,2021-11-19,46
605,3823000770.0,2021-11-13,45
606,3823000771.0,2021-12-11,49
607,3823000774.0,2021-11-26,47
608,3823000777.0,2021-11-13,45
609,3823000780.0,2021-11-26,47
610,3823000785.0,2021-11-26,47
611,3823000786.0,2021-11-26,47
612,3823000787.0,2021-11-20,46
613,3823000790.0,2021-11-13,45
614,3823000791.0,2021-11-19,46
615,3823000794.0,2021-11-26,47
616,3823000798.0,2021-12-24,51
617,3823000799.0,2021-12-25,51
618,3823000802.0,2021-11-27,47
619,3823000803.0,2021-12-11,49
620,3823000805.0,2021-11-20,46
621,3823000809.0,2021-11-20,46
622,3823000812.0,2021-12-10,49
623,3823000813.0,2021-11-26,47
624,3823000814.0,2021-12-16,50
625,3823000816.0,2021-10-16,41
626,3823000817.0,2021-11-19,46
627,3823000818.0,2021-11-20,46
628,3823000821.0,2021-12-02,48
629,3823000823.0,2021-12-24,51
630,3823000824.0,2021-11-20,46
631,3823000827.0,2021-12-03,48
632,3823000830.0,2021-12-04,48
633,3823000831.0,2021-12-11,49
634,3823000832.0,2021-11-20,46
635,3823000835.0,2021-11-27,47
636,3823000836.0,2021-12-18,50
637,3823000837.0,2021-12-11,49
638,3823000838.0,2021-11-27,47
639,3823000839.0,2021-11-27,47
640,3823000840.0,2021-12-04,48
641,3823000841.0,2021-12-04,48
642,3823000843.0,2021-11-27,47
643,3823000850.0,2021-12-11,49
644,3823000851.0,2021-12-11,49
645,3823000852.0,2021-12-18,50
646,3823000853.0,2021-12-18,50
647,3823000854.0,2021-12-10,49
648,3823000856.0,2021-12-25,51
649,3823000857.0,2021-11-20,46
650,3823000859.0,2021-12-24,51
651,3823000860.0,2021-11-26,47
652,3823000863.0,2021-11-27,47
653,3823000868.0,2021-12-18,50
654,3823000869.0,2021-12-25,51
655,3823000871.0,2021-11-20,46
656,3823000872.0,2021-12-25,51
657,3823000873.0,2021-10-30,43
658,3823000876.0,2021-11-26,47
659,3823000877.0,2021-11-27,47
660,3823000880.0,2021-12-18,50
661,3823000882.0,2021-11-27,47
662,3823000883.0,2021-12-25,51
663,3823000884.0,2021-11-20,46
664,3823000886.0,2021-11-20,46
665,3823000887.0,2021-11-03,44
666,3823000888.0,2021-11-27,47
667,3823000889.0,2021-11-03,44
668,3823000890.0,2021-11-03,44
669,3823000891.0,2021-11-03,44
670,3823000892.0,2021-11-03,44
671,3823000896.0,2021-11-03,44
672,3823000898.0,2021-11-03,44
673,3823000899.0,2021-12-25,51
674,3823000900.0,2021-12-25,51
675,3823000901.0,2021-12-18,50
676,3823000902.0,2021-11-27,47
677,3823000904.0,2021-12-10,49
678,3823000905.0,2021-11-19,46
679,3823000909.0,2021-11-27,47
680,3823000910.0,2021-12-04,48
681,3823000911.0,2021-12-11,49
682,3823000912.0,2021-11-13,45
683,3823000918.0,2021-11-19,46
684,3823000921.0,2021-12-25,51
685,3823000922.0,2021-12-04,48
686,3823000924.0,2021-11-27,47
687,3823000926.0,2021-11-26,47
