,Ordem Venda / Transferência,data_substituir,semana
396,3820015771.0,2021-12-18,50
397,3820015773.0,2021-11-19,46
398,3820015775.0,2021-11-19,46
399,3820015778.0,2021-11-26,47
400,3820015779.0,2021-11-26,47
401,3820015781.0,2021-12-18,50
402,3820015785.0,2021-12-18,50
403,3820015803.0,2021-12-11,49
404,3820015804.0,2021-12-24,51
405,3820015805.0,2021-12-11,49
406,3820015806.0,2021-12-04,48
407,3820015811.0,2021-12-18,50
