,ov,semana_algoritmo,semana_plan_real
315,3820014742.0,-1,43
316,3820014740.0,-1,49
317,3820014739.0,-1,45
318,3820014738.0,-1,45
319,3820014737.0,-1,46
320,3820014736.0,-1,45
321,3820014735.0,-1,38
322,3820014734.0,-1,43
323,3820014733.0,-1,39
324,3820014732.0,-1,43
325,3820014725.0,-1,45
326,3820014713.0,-1,45
327,3820014712.0,-1,48
328,3820014705.0,-1,42
329,3820014704.0,-1,45
330,3820014702.0,-1,39
331,3820014701.0,-1,49
332,3820014700.0,-1,44
333,3820014699.0,-1,41
334,3820014698.0,-1,41
335,3820014697.0,-1,41
336,3820014696.0,-1,45
337,3820014695.0,-1,46
338,3820014694.0,-1,47
339,3820014693.0,-1,46
340,3820014692.0,-1,41
341,3820014690.0,-1,42
342,3820014688.0,-1,45
343,3820014686.0,-1,43
344,3820014685.0,-1,45
345,3820014684.0,-1,45
346,3820014672.0,-1,42
347,3820014671.0,-1,44
348,3820014670.0,-1,44
349,3820014669.0,-1,43
350,3820014667.0,-1,45
351,3820014664.0,-1,43
352,3820014663.0,-1,39
353,3820014660.0,-1,47
354,3820014659.0,-1,41
355,3820014658.0,-1,42
356,3820014657.0,-1,42
357,3820014656.0,-1,43
358,3820014655.0,-1,45
359,3820014654.0,-1,45
360,3820014653.0,-1,43
361,3820014652.0,-1,42
362,3820014651.0,-1,42
363,3820014650.0,-1,41
364,3820014649.0,-1,48
365,3820014648.0,-1,42
366,3820014645.0,-1,42
367,3820014644.0,-1,42
368,3820014643.0,-1,42
369,3820014641.0,-1,41
370,3820014639.0,-1,43
371,3820014638.0,-1,45
372,3820014637.0,-1,48
373,3820014624.0,-1,49
374,3820014623.0,-1,48
375,3820014622.0,-1,39
376,3820014621.0,-1,41
377,3820014620.0,-1,48
378,3820014619.0,-1,44
379,3820014617.0,-1,46
380,3820014616.0,-1,45
381,3820014615.0,-1,42
382,3820014614.0,-1,43
383,3820014613.0,-1,48
384,3820014611.0,-1,42
385,3820014609.0,-1,40
386,3820014608.0,-1,48
387,3820014607.0,-1,39
388,3820014605.0,-1,46
389,3820014603.0,-1,46
390,3820014602.0,-1,42
391,3820014601.0,-1,43
392,3820014599.0,-1,50
393,3820014598.0,-1,39
394,3820014597.0,-1,43
395,3820014595.0,-1,48
396,3820014592.0,-1,39
397,3820014591.0,-1,47
398,3820014589.0,-1,41
399,3820014578.0,-1,40
400,3820014577.0,-1,41
401,3820014575.0,-1,46
402,3820014571.0,-1,48
403,3820014570.0,-1,39
404,3820014569.0,-1,39
405,3820014568.0,-1,41
406,3820014567.0,-1,40
407,3820014566.0,-1,44
408,3820014565.0,-1,42
409,3820014564.0,-1,43
410,3820014563.0,-1,42
411,3820014562.0,-1,42
412,3820014561.0,-1,45
413,3820014559.0,-1,43
414,3820014558.0,-1,38
415,3820014554.0,-1,47
416,3820014553.0,-1,43
417,3820014550.0,-1,39
418,3820014548.0,-1,43
419,3820014547.0,-1,43
420,3820014546.0,-1,41
421,3820014527.0,-1,50
422,3820014526.0,-1,46
423,3820014525.0,-1,46
424,3820014524.0,-1,39
425,3820014523.0,-1,37
426,3820014522.0,-1,40
427,3820014521.0,-1,39
428,3820014520.0,-1,42
429,3820014518.0,-1,43
430,3820014517.0,-1,42
431,3820014510.0,-1,44
432,3820014485.0,-1,41
433,3820014481.0,-1,41
434,3820014480.0,-1,42
435,3820014479.0,-1,38
436,3820014477.0,-1,45
437,3820014476.0,-1,41
438,3820014475.0,-1,41
439,3820014473.0,-1,50
440,3820014472.0,-1,40
441,3820014471.0,-1,43
442,3820014470.0,-1,38
443,3820014469.0,-1,42
444,3820014468.0,-1,39
445,3820014448.0,-1,44
446,3820014447.0,-1,41
447,3820014446.0,-1,41
448,3820014445.0,-1,38
449,3820014433.0,-1,45
450,3820014432.0,-1,41
451,3820014430.0,-1,44
452,3820014429.0,-1,43
453,3820014428.0,-1,39
454,3820014426.0,-1,49
455,3820014425.0,-1,40
456,3820014424.0,-1,49
457,3820014423.0,-1,39
458,3820014422.0,-1,39
459,3820014413.0,-1,45
460,3820014412.0,-1,42
461,3820014411.0,-1,41
462,3820014409.0,-1,40
463,3820014408.0,-1,48
464,3820014407.0,-1,39
465,3820014406.0,-1,46
466,3820014405.0,-1,44
467,3820014387.0,-1,38
468,3820014386.0,-1,48
469,3820014385.0,-1,48
470,3820014384.0,-1,39
471,3820014383.0,-1,47
472,3820014381.0,-1,44
473,3820014380.0,-1,50
474,3820014379.0,-1,50
475,3820014378.0,-1,49
476,3820014377.0,-1,36
477,3820014376.0,-1,49
478,3820014375.0,-1,48
479,3820014374.0,-1,47
480,3820014373.0,-1,46
481,3820014372.0,-1,42
482,3820014371.0,-1,43
483,3820014370.0,-1,38
484,3820014367.0,-1,44
485,3820014366.0,-1,44
486,3820014365.0,-1,44
487,3820014361.0,-1,41
488,3820014357.0,-1,41
489,3820014356.0,-1,39
490,3820014355.0,-1,42
491,3820014353.0,-1,44
492,3820014338.0,-1,38
493,3820014336.0,-1,49
494,3820014335.0,-1,45
495,3820014333.0,-1,42
496,3820014330.0,-1,37
497,3820014324.0,-1,41
498,3820014322.0,-1,45
499,3820014320.0,-1,48
500,3820014303.0,-1,47
501,3820014301.0,-1,44
502,3820014298.0,-1,47
503,3820014297.0,-1,43
504,3820014296.0,-1,38
505,3820014295.0,-1,43
506,3820014294.0,-1,42
507,3820014293.0,-1,38
508,3820014292.0,-1,41
509,3820014291.0,-1,38
510,3820014288.0,-1,39
511,3820014286.0,-1,43
512,3820014285.0,-1,42
513,3820014284.0,-1,42
514,3820014283.0,-1,43
515,3820014282.0,-1,42
516,3820014281.0,-1,42
517,3820014280.0,-1,39
518,3820014278.0,-1,39
519,3820014268.0,-1,41
520,3820014265.0,-1,44
521,3820014264.0,-1,39
522,3820014263.0,-1,40
523,3820014261.0,-1,39
524,3820014260.0,-1,41
525,3820014259.0,-1,41
526,3820014258.0,-1,39
527,3820014257.0,-1,40
528,3820014255.0,-1,41
529,3820014253.0,-1,45
530,3820014252.0,-1,41
531,3820014251.0,-1,43
532,3820014249.0,-1,44
533,3820014237.0,-1,39
534,3820014236.0,-1,42
535,3820014235.0,-1,44
536,3820014233.0,-1,45
537,3820014226.0,-1,41
538,3820014225.0,-1,44
539,3820014216.0,-1,43
540,3820014208.0,-1,47
541,3820014207.0,-1,45
542,3820014206.0,-1,41
543,3820014203.0,-1,41
544,3820014201.0,-1,41
545,3820014200.0,-1,39
546,3820014199.0,-1,48
547,3820014198.0,-1,45
548,3820014195.0,-1,45
549,3820014189.0,-1,46
550,3820014188.0,-1,41
551,3820014182.0,-1,38
552,3820014176.0,-1,39
553,3820014175.0,-1,43
554,3820014166.0,-1,43
555,3820014165.0,-1,46
556,3820014164.0,-1,46
557,3820014161.0,-1,43
558,3820014160.0,-1,38
559,3820014159.0,-1,46
560,3820014154.0,-1,48
561,3820014153.0,-1,43
562,3820014152.0,-1,42
563,3820014151.0,-1,42
564,3820014150.0,-1,41
565,3820014149.0,-1,46
566,3820014148.0,-1,46
567,3820014147.0,-1,40
568,3820014145.0,-1,46
569,3820014144.0,-1,46
570,3820014142.0,-1,44
571,3820014141.0,-1,41
572,3820014133.0,-1,46
573,3820014132.0,-1,43
574,3820014131.0,-1,45
575,3820014130.0,-1,43
576,3820014129.0,-1,44
577,3820014128.0,-1,43
578,3820014126.0,-1,45
579,3820014122.0,-1,43
580,3820014121.0,-1,37
581,3820014120.0,-1,40
582,3820014108.0,-1,41
583,3820014106.0,-1,40
584,3820014103.0,-1,44
585,3820014101.0,-1,35
586,3820014098.0,-1,44
587,3820014097.0,-1,40
588,3820014094.0,-1,44
589,3820014086.0,-1,45
590,3820014085.0,-1,43
591,3820014084.0,-1,42
592,3820014083.0,-1,43
593,3820014079.0,-1,43
594,3820014077.0,-1,39
595,3820014076.0,-1,43
596,3820014073.0,-1,42
597,3820014067.0,-1,44
598,3820014066.0,-1,43
599,3820014061.0,-1,43
600,3820014046.0,-1,38
601,3820014043.0,-1,44
602,3820014042.0,-1,42
603,3820014041.0,-1,43
604,3820014037.0,-1,39
605,3820014035.0,-1,39
606,3820014034.0,-1,40
607,3820014033.0,-1,40
608,3820014032.0,-1,41
609,3820014029.0,-1,46
610,3820014027.0,-1,43
611,3820014026.0,-1,39
612,3820014025.0,-1,42
613,3820014024.0,-1,42
614,3820014023.0,-1,42
615,3820014022.0,-1,41
616,3820014021.0,-1,32
617,3820014020.0,-1,40
618,3820014019.0,-1,41
619,3820014018.0,-1,39
620,3820014017.0,-1,40
621,3820014016.0,-1,43
622,3820014015.0,-1,40
623,3820014014.0,-1,39
624,3820014013.0,-1,46
625,3820014012.0,-1,45
626,3820014005.0,-1,42
627,3820014003.0,-1,40
628,3820013998.0,-1,40
629,3820013989.0,-1,42
630,3820013987.0,-1,44
631,3820013985.0,-1,41
632,3820013982.0,-1,40
633,3820013981.0,-1,40
634,3820013980.0,-1,44
635,3820013978.0,-1,41
636,3820013976.0,-1,41
637,3820013975.0,-1,39
638,3820013971.0,-1,40
639,3820013970.0,-1,40
640,3820013969.0,-1,40
641,3820013968.0,-1,41
642,3820013967.0,-1,40
643,3820013966.0,-1,43
644,3820013965.0,-1,41
645,3820013964.0,-1,50
646,3820013963.0,-1,42
647,3820013955.0,-1,41
648,3820013954.0,-1,43
649,3820013952.0,-1,42
650,3820013948.0,-1,41
651,3820013947.0,-1,38
652,3820013945.0,-1,39
653,3820013944.0,-1,43
654,3820013943.0,-1,39
655,3820013941.0,-1,43
656,3820013934.0,-1,39
657,3820013933.0,-1,42
658,3820013932.0,-1,41
659,3820013931.0,-1,42
660,3820013930.0,-1,41
661,3820013929.0,-1,42
662,3820013928.0,-1,41
663,3820013926.0,-1,42
664,3820013925.0,-1,41
665,3820013924.0,-1,38
666,3820013923.0,-1,41
667,3820013921.0,-1,40
668,3820013920.0,-1,41
669,3820013919.0,-1,41
670,3820013917.0,-1,44
671,3820013908.0,-1,41
672,3820013905.0,-1,43
673,3820013904.0,-1,38
674,3820013899.0,-1,39
675,3820013898.0,-1,43
676,3820013896.0,-1,39
677,3820013895.0,-1,41
678,3820013893.0,-1,40
679,3820013892.0,-1,45
680,3820013891.0,-1,40
681,3820013889.0,-1,41
682,3820013888.0,-1,38
683,3820013884.0,-1,37
684,3820013876.0,-1,37
685,3820013875.0,-1,41
686,3820013871.0,-1,43
687,3820013869.0,-1,37
688,3820013868.0,-1,39
689,3820013867.0,-1,39
690,3820013866.0,-1,48
691,3820013865.0,-1,37
692,3820013864.0,-1,39
693,3820013863.0,-1,37
694,3820013861.0,-1,40
695,3820013841.0,-1,39
696,3820013839.0,-1,41
697,3820013838.0,-1,36
698,3820013836.0,-1,43
699,3820013833.0,-1,40
700,3820013830.0,-1,43
701,3820013829.0,-1,39
702,3820013828.0,-1,44
703,3820013826.0,-1,43
704,3820013825.0,-1,41
705,3820013824.0,-1,39
706,3820013823.0,-1,43
707,3820013821.0,-1,43
708,3820013815.0,-1,46
709,3820013811.0,-1,38
710,3820013810.0,-1,43
711,3820013809.0,-1,43
712,3820013799.0,-1,38
713,3820013796.0,-1,39
714,3820013795.0,-1,40
715,3820013794.0,-1,39
716,3820013793.0,-1,41
717,3820013792.0,-1,41
718,3820013791.0,-1,44
719,3820013790.0,-1,46
720,3820013788.0,-1,49
721,3820013787.0,-1,41
722,3820013786.0,-1,41
723,3820013785.0,-1,50
724,3820013783.0,-1,40
725,3820013782.0,-1,46
726,3820013781.0,-1,43
727,3820013767.0,-1,37
728,3820013764.0,-1,39
729,3820013762.0,-1,38
730,3820013761.0,-1,44
731,3820013760.0,-1,44
732,3820013759.0,-1,43
733,3820013758.0,-1,43
734,3820013756.0,-1,38
735,3820013755.0,-1,40
736,3820013754.0,-1,43
737,3820013753.0,-1,42
738,3820013736.0,-1,43
739,3820013734.0,-1,42
740,3820013733.0,-1,40
741,3820013732.0,-1,38
742,3820013731.0,-1,38
743,3820013729.0,-1,37
744,3820013726.0,-1,39
745,3820013725.0,-1,39
746,3820013722.0,-1,37
747,3820013719.0,-1,42
748,3820013706.0,-1,41
749,3820013705.0,-1,38
750,3820013704.0,-1,45
751,3820013703.0,-1,45
752,3820013702.0,-1,41
753,3820013700.0,-1,39
754,3820013693.0,-1,45
755,3820013692.0,-1,42
756,3820013691.0,-1,42
757,3820013689.0,-1,41
758,3820013688.0,-1,41
759,3820013687.0,-1,39
760,3820013680.0,-1,42
761,3820013678.0,-1,39
762,3820013677.0,-1,39
763,3820013676.0,-1,38
764,3820013668.0,-1,31
765,3820013649.0,-1,42
766,3820013647.0,-1,41
767,3820013646.0,-1,42
768,3820013640.0,-1,39
769,3820013535.0,-1,42
770,3820013533.0,-1,42
771,3820013492.0,-1,40
772,3820013489.0,-1,39
773,3820013484.0,-1,39
774,3820013483.0,-1,39
775,3820013481.0,-1,40
776,3820013480.0,-1,39
777,3820013477.0,-1,41
778,3820013475.0,-1,36
779,3820013474.0,-1,39
780,3820013470.0,-1,40
781,3820013466.0,-1,38
782,3820013465.0,-1,38
783,3820013462.0,-1,38
784,3820013461.0,-1,42
785,3820013460.0,-1,42
786,3820013450.0,-1,51
787,3820013449.0,-1,41
788,3820013448.0,-1,39
789,3820013444.0,-1,39
790,3820013439.0,-1,42
791,3820013438.0,-1,42
792,3820013435.0,-1,42
793,3820013433.0,-1,38
794,3820013419.0,-1,40
795,3820013418.0,-1,39
796,3820013414.0,-1,39
797,3820013411.0,-1,38
798,3820013408.0,-1,41
799,3820013406.0,-1,39
800,3820013403.0,-1,46
801,3820013402.0,-1,42
802,3820013398.0,-1,41
803,3820013394.0,-1,39
804,3820013391.0,-1,37
805,3820013388.0,-1,41
806,3820013387.0,-1,39
807,3820013378.0,-1,39
808,3820013376.0,-1,40
809,3820013371.0,-1,39
810,3820013370.0,-1,39
811,3820013368.0,-1,40
812,3820013365.0,-1,31
813,3820013364.0,-1,35
814,3820013362.0,-1,37
815,3820013359.0,-1,41
816,3820013355.0,-1,41
817,3820013353.0,-1,38
818,3820013342.0,-1,35
819,3820013341.0,-1,39
820,3820013318.0,-1,50
821,3820013317.0,-1,42
822,3820013316.0,-1,41
823,3820013315.0,-1,39
824,3820013313.0,-1,39
825,3820013310.0,-1,40
826,3820013286.0,-1,39
827,3820013285.0,-1,37
828,3820013284.0,-1,41
829,3820013283.0,-1,40
830,3820013279.0,-1,39
831,3820013269.0,-1,39
832,3820013268.0,-1,38
833,3820013265.0,-1,40
834,3820013264.0,-1,42
835,3820013257.0,-1,39
836,3820013236.0,-1,37
837,3820013235.0,-1,36
838,3820013234.0,-1,46
839,3820013233.0,-1,44
840,3820013228.0,-1,50
841,3820013227.0,-1,39
842,3820013226.0,-1,39
843,3820013225.0,-1,39
844,3820013221.0,-1,41
845,3820013202.0,-1,38
846,3820013197.0,-1,36
847,3820013194.0,-1,44
848,3820013182.0,-1,37
849,3820013180.0,-1,42
850,3820013178.0,-1,38
851,3820013176.0,-1,40
852,3820013167.0,-1,38
853,3820013166.0,-1,36
854,3820013165.0,-1,47
855,3820013164.0,-1,38
856,3820013163.0,-1,38
857,3820013162.0,-1,40
858,3820013160.0,-1,38
859,3820013157.0,-1,46
860,3820013156.0,-1,42
861,3820013149.0,-1,36
862,3820013148.0,-1,38
863,3820013147.0,-1,38
864,3820013126.0,-1,41
865,3820013122.0,-1,40
866,3820013119.0,-1,39
867,3820013116.0,-1,39
868,3820013114.0,-1,39
869,3820013111.0,-1,40
870,3820013110.0,-1,39
871,3820013109.0,-1,39
872,3820013104.0,-1,38
873,3820013102.0,-1,38
874,3820013101.0,-1,40
875,3820013100.0,-1,39
876,3820013098.0,-1,40
877,3820013092.0,-1,37
878,3820013090.0,-1,38
879,3820013076.0,-1,37
880,3820013075.0,-1,35
881,3820013074.0,-1,41
882,3820013073.0,-1,38
883,3820013072.0,-1,47
884,3820013056.0,-1,36
885,3820013051.0,-1,37
886,3820013048.0,-1,36
887,3820013047.0,-1,36
888,3820013045.0,-1,36
889,3820013042.0,-1,37
890,3820013040.0,-1,37
891,3820013039.0,-1,36
892,3820013037.0,-1,38
893,3820013036.0,-1,40
894,3820013035.0,-1,41
895,3820013032.0,-1,38
896,3820013031.0,-1,49
897,3820013030.0,-1,49
898,3820013029.0,-1,48
899,3820013028.0,-1,47
900,3820013027.0,-1,48
901,3820013026.0,-1,46
902,3820013025.0,-1,46
903,3820013024.0,-1,48
904,3820013023.0,-1,41
905,3820013022.0,-1,47
906,3820013021.0,-1,45
907,3820013020.0,-1,45
908,3820013019.0,-1,45
909,3820013018.0,-1,44
910,3820013017.0,-1,44
911,3820013011.0,-1,29
912,3820013010.0,-1,39
913,3820013009.0,-1,44
914,3820013008.0,-1,43
915,3820013007.0,-1,43
916,3820012975.0,-1,50
917,3820012974.0,-1,41
918,3820012965.0,-1,40
919,3820012963.0,-1,40
920,3820012961.0,-1,39
921,3820012959.0,-1,38
922,3820012958.0,-1,39
923,3820012944.0,-1,38
924,3820012940.0,-1,40
925,3820012937.0,-1,49
926,3820012936.0,-1,44
927,3820012935.0,-1,39
928,3820012925.0,-1,41
929,3820012923.0,-1,51
930,3820012922.0,-1,50
931,3820012921.0,-1,48
932,3820012920.0,-1,52
933,3820012892.0,-1,41
934,3820012887.0,-1,40
935,3820012883.0,-1,39
936,3820012879.0,-1,36
937,3820012867.0,-1,41
938,3820012865.0,-1,39
939,3820012864.0,-1,30
940,3820012856.0,-1,39
941,3820012855.0,-1,39
942,3820012849.0,-1,39
943,3820012836.0,-1,37
944,3820012803.0,-1,29
945,3820012793.0,-1,40
946,3820012779.0,-1,38
947,3820012778.0,-1,35
948,3820012775.0,-1,38
949,3820012755.0,-1,43
950,3820012750.0,-1,29
951,3820012744.0,-1,39
952,3820012742.0,-1,39
953,3820012716.0,-1,40
954,3820012713.0,-1,37
955,3820012710.0,-1,47
956,3820012699.0,-1,46
957,3820012698.0,-1,42
958,3820012697.0,-1,38
959,3820012686.0,-1,31
960,3820012685.0,-1,46
961,3820012684.0,-1,39
962,3820012676.0,-1,35
963,3820012646.0,-1,48
964,3820012634.0,-1,49
965,3820012633.0,-1,46
966,3820012632.0,-1,42
967,3820012630.0,-1,38
968,3820012599.0,-1,39
969,3820012598.0,-1,36
970,3820012583.0,-1,37
971,3820012566.0,-1,44
972,3820012564.0,-1,37
973,3820012563.0,-1,42
974,3820012561.0,-1,40
975,3820012555.0,-1,40
976,3820012549.0,-1,38
977,3820012545.0,-1,41
978,3820012544.0,-1,39
979,3820012512.0,-1,38
980,3820012506.0,-1,39
981,3820012500.0,-1,39
982,3820012496.0,-1,40
983,3820012494.0,-1,37
984,3820012492.0,-1,41
985,3820012490.0,-1,42
986,3820012479.0,-1,35
987,3820012471.0,-1,47
988,3820012470.0,-1,46
989,3820012469.0,-1,45
990,3820012468.0,-1,44
991,3820012467.0,-1,43
992,3820012466.0,-1,42
