,of,item,id ov,ov,semana,data desejada,centro de trabalho,acabamento,blocos,ccs,virados,referência,semana minima,duração,semana precedencia,número de semanas
36,1600079389,120.0,11,3823000572.0,30,29,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,2-380M 01",30,240.66,30,1
37,1600078970,110.0,12,3823000572.0,28,28,CNMREBMM,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1220X5,5-2,5M NE",28,40.02,28,1
38,1600078971,110.0,12,3823000572.0,28,28,CNMLAMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1220X5,5 NE",28,14.28,28,1
39,1600078969,110.0,12,3823000572.0,28,28,CNMEMBMM,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1220X5,5-2,5M 01",28,7.98,28,1
40,1600078966,100.0,12,3823000572.0,28,28,CNMLAMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1250X1,6-122M NE",28,1000.0200000000001,28,1
41,1600078965,100.0,12,3823000572.0,28,28,CNMEMBRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1250X1,6-122M 01",28,133.32,28,1
42,1600078962,90.0,12,3823000572.0,28,28,CNMLAMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1245X5,2-123M 01",28,1000.0200000000001,28,1
43,1600079386,70.0,11,3823000572.0,30,29,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CR N711/PAL 1016X1,57 NE",29,76.38,28,1
44,1600079385,70.0,11,3823000572.0,30,29,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR N711/PAL 1016X1,57-229M 00",29,62.58,30,1
45,1600079384,60.0,12,3823000572.0,28,28,CRMLAMPL,Printing,7.4,-1,0.0,"PL CR H70L/PAL 915X915X1,2 NE",28,218.1,28,1
46,1600079382,50.0,11,3823000572.0,30,29,CRMLAMRL,Qualquer,0.0,-1,0.0,"RL CR N710/PAL 1027X3,2 NE",29,119.34,28,1
47,1600079381,50.0,11,3823000572.0,30,29,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR N710/PAL 1027X3,17-114M 00",30,116.28,30,1
48,1600079378,40.0,12,3823000572.0,28,28,CRMLAMPL,Printing,7.2,-1,0.0,"PL CR N709/PAL 915X915X1,2 NE",28,198.18,28,1
49,1600078959,30.0,12,3823000572.0,28,28,CNMLAMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1230X3,0-244M 00",28,150.0,28,1
50,1600078958,20.0,12,3823000572.0,28,28,CNMLAMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1260X5,5-128M 01",28,60.0,28,1
51,1600078957,10.0,12,3823000572.0,28,28,CNMSERPL,Qualquer,3.0,-1,0.0,PL CC 8827/000 940X640X102 01,28,9.0,28,1
52,1600078954,40.0,15,3823000568.0,35,29,CNMLAMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1010X2,0-30M NE",29,300.0,28,1
53,1600078953,40.0,15,3823000568.0,35,29,CNMEMBRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1010X2,0-30M PA",29,102.84,35,1
54,1600078951,30.0,15,3823000568.0,35,29,CNMREBMA,Qualquer,0.0,-1,0.0,"RL CI 5085/000 1000X1,8-10M NE",31,329.52,35,1
55,1600078952,30.0,15,3823000568.0,35,29,CNMLAMMA,Qualquer,0.0,-1,0.0,"RL CI 5085/000 1000X1,8 NE",29,332.88,28,1
56,1600078950,30.0,15,3823000568.0,35,29,CNMEMBMA,Qualquer,0.0,-1,0.0,"RL CI 5085/000 1000X1,8-10M AR",35,329.52,35,1
57,1600078948,20.0,15,3823000568.0,35,29,CNMVSMEB,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1000X5,0-25M 03",29,33.480000000000004,35,1
58,1600078949,20.0,15,3823000568.0,35,29,CNMVSMRL,Qualquer,0.0,-1,0.0,"RL CC 8245/000 1000X5,0-25M NE",29,33.480000000000004,28,1
59,1600078946,10.0,15,3823000568.0,35,29,CNMREBMA,Qualquer,0.0,-1,0.0,"RL CC 8210/000 1000X1,8-10M NE",30,156.72,35,1
60,1600078947,10.0,15,3823000568.0,35,29,CNMLAMMA,Qualquer,0.0,-1,0.0,"RL CC 8210/000 1000X1,8 NE",29,160.92,28,1
61,1600078945,10.0,15,3823000568.0,35,29,CNMEMBMA,Qualquer,0.0,-1,0.0,"RL CC 8210/000 1000X1,8-10M WN",35,156.72,35,1
62,1600075317,10.0,16,3823000559.0,36,36,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5-304M 01",36,2245.98,36,1
63,1600079695,10.0,16,3823000559.0,36,36,CRMRLMEI,Qualquer,0.0,-1,0.0,"RL CR 2549/T01 1067X1,5-304M 01",36,1844.9399999999998,36,1
